step1,step2,step3,step4,total_duration,from_edge,to_edge
heratsi_2-,koryun_1,koryun_2,teryan_1-,230,134133272,138002016#0
heratsi_2-,koryun_1,koryun_2,teryan_2,211,134133272,-138002002#2
heratsi_2-,charents_2-,sayat_nova_1,sayat_nova_2,304,134133272,714011134#0
heratsi_2-,charents_2-,sayat_nova_1,alek_manukyan_2,345,134133272,186410975#0
heratsi_2-,charents_2-,sayat_nova_1,alek_manukyan_1-,387,134133272,1254157399#1
heratsi_2-,heratsi_1-,khanjyan_1,nalbandyan_2-,131,134133272,1254519229#0
heratsi_2-,heratsi_1-,khanjyan_1,nalbandyan_3,180,134133272,1254519225#0.109
sayat_nova_2,sayat_nova_3,sayat_nova_4,sayat_nova_5-,265,714011134#0,133126030#0
sayat_nova_2,sayat_nova_3,sayat_nova_4,abovyan_5,259,714011134#0,134193294#0
sayat_nova_2,sayat_nova_3,nalbandyan_3-,nalbandyan_2-,208,714011134#0,1254519229#0
sayat_nova_2,sayat_nova_3,nalbandyan_3-,khanjyan_1-,211,714011134#0,799091563#0
sayat_nova_2,khanjyan_1,nalbandyan_2-,isahakyan_1,198,714011134#0,430416184
sayat_nova_2,khanjyan_1,nalbandyan_2-,nalbandyan_1-,168,714011134#0,1342963997
sayat_nova_2,khanjyan_1,nalbandyan_3,nalbandyan_4,344,714011134#0,135474719#0
sayat_nova_2,khanjyan_1,nalbandyan_3,sayat_nova_4,335,714011134#0,1328664744#0
sayat_nova_2,khanjyan_1,nalbandyan_3,sayat_nova_3-,329,714011134#0,177211987#1
sayat_nova_2-,sayat_nova_1-,charents_2-,charents_1-,419,688883939#0,-809772643#1
sayat_nova_2-,sayat_nova_1-,charents_2-,sayat_nova_1,370,688883939#0,1310781056
sayat_nova_2-,alek_manukyan_2,isahakyan_1,isahakyan_2,277,688883939#0,186407685
sayat_nova_2-,alek_manukyan_2,isahakyan_1,abovyan_2-,285,688883939#0,1091883842
sayat_nova_2-,alek_manukyan_2,isahakyan_1,abovyan_3,417,688883939#0,186407684#0
sayat_nova_2-,alek_manukyan_2,charents_2-,charents_1-,369,688883939#0,-809772643#1
sayat_nova_2-,alek_manukyan_2,charents_2-,sayat_nova_1,320,688883939#0,1310781056
sayat_nova_1,sayat_nova_2,sayat_nova_3,sayat_nova_4,235,1310781056,1328664744#0
sayat_nova_1,sayat_nova_2,sayat_nova_3,nalbandyan_3-,234,1310781056,1253188486#8
sayat_nova_1,sayat_nova_2,khanjyan_1,nalbandyan_2-,210,1310781056,1254519229#0
sayat_nova_1,sayat_nova_2,khanjyan_1,nalbandyan_3,259,1310781056,1254519225#0.109
sayat_nova_1,alek_manukyan_2,isahakyan_1,isahakyan_2,295,1310781056,186407685
sayat_nova_1,alek_manukyan_2,isahakyan_1,abovyan_2-,303,1310781056,1091883842
sayat_nova_1,alek_manukyan_2,isahakyan_1,abovyan_3,435,1310781056,186407684#0
sayat_nova_1,alek_manukyan_2,charents_2-,charents_1-,387,1310781056,-809772643#1
