Origin,Destination,Distance_m,Duration_s
moskovyan_3,abovyan_4,272,54
moskovyan_3,abovyan_3-,158,35
moskovyan_3,isahakyan_3,1189,243
moskovyan_3,teryan_3,1086,229
moskovyan_3,mesrop_mashtoc_1-,1446,300
moskovyan_3,teryan_4,840,221
moskovyan_3,moskovyan_3,0,0
moskovyan_3,isahakyan_3,1189,243
moskovyan_3,teryan_2-,1138,245
moskovyan_3,moskovyan_4,258,46
moskovyan_3,abovyan_4,272,54
moskovyan_3,abovyan_3-,158,35
moskovyan_3,isahakyan_3,1189,243
moskovyan_3,teryan_3,1086,229
isahakyan_2,mesrop_mashtoc_1-,512,114
isahakyan_2,teryan_4,362,88
isahakyan_2,moskovyan_3,313,82
isahakyan_2,isahakyan_3,255,56
isahakyan_2,teryan_2-,204,58
isahakyan_2,moskovyan_4,571,128
isahakyan_2,abovyan_4,586,136
isahakyan_2,abovyan_3-,472,117
isahakyan_2,isahakyan_3,255,56
isahakyan_2,teryan_3,152,43
isahakyan_2,mesrop_mashtoc_1-,512,114
isahakyan_2,teryan_4,362,88
isahakyan_2,moskovyan_3,313,82
isahakyan_2,isahakyan_3,255,56
isahakyan_2,teryan_2-,204,58
isahakyan_2,moskovyan_4,571,128
isahakyan_2,abovyan_4,586,136
isahakyan_2,abovyan_3-,472,117
isahakyan_2,isahakyan_3,255,56
isahakyan_2,teryan_3,152,43
isahakyan_2,teryan_2-,204,58
isahakyan_2,abovyan_4,586,136
isahakyan_2,moskovyan_4,571,128
isahakyan_2,abovyan_2-,618,152
isahakyan_2,koryun_2-,393,127
isahakyan_2,teryan_2,204,58
isahakyan_2,teryan_1-,539,140
isahakyan_2,teryan_3,152,43
